,precision_OverTaking,precision_LaneChange,precision_WrongLane,precision_Cutting,recall_OverTaking,recall_LaneChange,recall_WrongLane,recall_Cutting,f1_OverTaking,f1_LaneChange,f1_WrongLane,f1_Cutting,roc_auc,coverage_error,label_ranking_avg_precision
30_FPS/init_try,0.7072727272727273,0.1565598779557589,0.0471167369901547,0.0716153691410179,0.0799767587378206,0.0247535200651249,0.0437087172796216,0.0947564546180463,0.1437038226790876,0.0427481710968212,0.0453487880197977,0.0815765352887259,0.521926061692807,1.4153082160452686,0.7511056514624213
30_FPS/overfit_dropout0_1,0.5796499181463292,0.1329605891176871,0.0359384615384615,0.0824882512985406,0.04114597300438,0.0293966894805077,0.0238114653836744,0.1775352675006654,0.0768376860221515,0.0481481481481481,0.0286443005689621,0.1126403782825297,0.5250789117129593,1.4633316344532874,0.7392550193193173
30_FPS/overfit_dropout0_2,0.4830345002055466,0.0919840937630807,0.0582423465662973,0.0276671629904082,0.2730848306069545,0.1325112310429041,0.2927505504362717,0.4253393665158371,0.3489115786107494,0.1085895709538339,0.0971556926740819,0.0519548077704624,0.5717223446899915,1.4398217482782505,0.7423257087016263
30_FPS/overfit_dropout0_3,0.5217027146868995,0.0912632164718976,0.0461410218691772,0.0542192046556741,0.0946545096987574,0.0543914131516266,0.0767348935823208,0.2975778546712803,0.1602366702732149,0.068160350625307,0.0576292984658725,0.0917258071132625,0.5415113870222046,1.463472772180186,0.7392498645978096
30_FPS/overfit_dropout0_4,0.6631354192329802,0.1206417209789891,0.0757892358954085,0.0473261451624574,0.2887279878430321,0.0798082431332348,0.2188697708554187,0.3481501197764173,0.4022967031598351,0.0960659069463598,0.1125909767812572,0.083325370281892,0.5827323026389141,1.302468603389919,0.7762014494205933
30_FPS/overfit_dropout0_5,0.6200949047586995,0.1420479819696924,0.0703068092421549,0.0465700616115375,0.3294091356038258,0.1444206590888533,0.1967707738726249,0.3601277615118445,0.4302560450209576,0.1432244946776701,0.1035978018203675,0.0824748552270649,0.5881586606602955,1.3078266096888436,0.7711027038329595
att_back/2_unsc_loss_dropout01,0.384406378311918,0.0991802584795981,0.0406274314068028,0.0135458674366255,0.9417463091740732,0.8943384223918575,0.9169980119284294,0.9632352941176472,0.5459601920869243,0.1785587279008331,0.0778076106667416,0.0267160304026229,0.6126215074219624,1.4564698035742596,0.7401368000772596
att_back/3_unsc_loss_dropout01,0.3908701409986757,0.1071564892929198,0.0433983139326508,0.0114580572746971,0.9329515451266224,0.8750636132315521,0.9227965540092776,0.831447963800905,0.5509245026132021,0.1909322451472313,0.0828980071735798,0.0226046039581122,0.6096282089547629,1.4716623204806498,0.7377268080407174
att_back/consider_fewer_actors,0.7095435684647303,0.0,0.0,0.0,0.003681774141457638,0.0,0.0,0.0,0.007325536563423725,0.0,0.0,0.0,0.5002120715055207,1.2719057366818114,0.7711452652912537
att_back/enc_layers_2_dec_layers_4,0.634167367082606,0.0,0.0,0.0,0.549228213599119,0.0,0.0,0.0,0.588649502890636,0.0,0.0,0.0,0.5521241584674368,1.0820898393488214,0.8428750313736034
att_back/enc_layers_2_dec_layers_5,0.6294651157986075,0.0,0.0,0.0,0.5686768576068089,0.0,0.0,0.0,0.5975289272406353,0.0,0.0,0.0,0.5536204411184331,1.067200888170731,0.846788258851935
att_back/enc_layers_2_dec_layers_6,0.642648828812147,0.2729970326409495,0.0,0.0,0.5182261044851335,0.0117647058823529,0.0,0.0,0.573769644868311,0.022557312737526,0.0,0.0,0.5508468648432912,1.107305973717621,0.8359045949278252
att_back/enc_layers_3_dec_layers_4,0.6385900148561653,0.0,0.0,0.0,0.5295182634339362,0.0,0.0,0.0,0.5789618685142293,0.0,0.0,0.0,0.5505552888885783,1.0976383232479787,0.8388326454040629
att_back/enc_layers_3_dec_layers_5,0.5934062242824273,0.0,0.0,0.0,0.6594620826100752,0.0,0.0,0.0,0.624692798670415,0.0,0.0,0.0,0.5588593007952163,0.9952293799842812,0.8654667751231568
att_back/enc_layers_3_dec_layers_6,0.6346648081195279,0.0,0.0,0.0,0.5438901020960487,0.0,0.0,0.0,0.585781628489009,0.0,0.0,0.0,0.5516526178293895,1.0868879398945848,0.8416823763696737
att_back/enc_layers_4_dec_layers_4,0.602317206826366,0.981132075471698,0.0,0.0,0.6462287922056106,0.0033248081841432,0.0,0.0,0.6235008103727714,0.0066271586057477,0.0,0.0,0.5589335746244287,1.008244159013339,0.8622978120001961
att_back/enc_layers_4_dec_layers_5,0.6152728107250091,0.0,0.0,0.0,0.6004815499188084,0.0,0.0,0.0,0.6077872026901933,0.0,0.0,0.0,0.5554713100442836,1.043226873759941,0.8531252690801883
att_back/enc_layers_4_dec_layers_6,0.6922648169938689,0.0,0.0,0.0,0.4172686040651772,0.0,0.0,0.0,0.520688008757322,0.0,0.0,0.0,0.5424814702654892,1.1829983456720914,0.8163526558100236
att_back/long_dropout_02,0.430504019789734,0.1066331658291457,0.0507394614172172,0.0264254344806876,0.3106429660481202,0.2699745547073791,0.2506626905235255,0.3981900452488687,0.3608813046765309,0.1528818443804034,0.0843954818017013,0.0495617585976275,0.5678080098754426,1.4224000787233693,0.7445666600456349
att_back/new_loss_feat_drop,0.5689001264222503,0.0,0.0,0.0670391061452514,0.0251973794725348,0.0,0.0,0.0136986301369863,0.0482573726541555,0.0,0.0,0.0227488151658767,0.5036341637991071,1.4584027216716955,0.7416793535113704
att_back/overfit_dropout0_1,0.5319917440660474,0.0976171982661421,0.0461349639467858,0.0250180853629129,0.4600795805288014,0.2478371501272264,0.3487408880053015,0.704185520361991,0.4934293178056513,0.1400657906562887,0.0814896541044848,0.0483194908018318,0.6078736235110127,1.4558848452047082,0.7390914071862813
att_back/overfit_dropout0_2,0.5676392572944297,0.0,0.1401617250673854,0.4528795811518324,0.0039790264400728,0.0,0.0086149768058316,0.0978506787330316,0.0079026569914511,0.0,0.0162322459809583,0.1609302325581395,0.5130060280565095,1.47171698948715,0.7377222522901759
att_back/overfit_dropout0_3,0.5590956787179242,0.0893147939371163,0.0712061003114595,0.0333964049195837,0.1089769811461083,0.0453562340966921,0.1098409542743538,0.1996606334841629,0.1824009958764491,0.0601611610344682,0.0864012510588388,0.0572215918301183,0.5349088373780639,1.461925770422974,0.7388056097689828
att_back/overfit_dropout0_4,0.5904401650618982,0.1474966170500676,0.0748705694942254,0.0931000330141961,0.0319251794280614,0.0208015267175572,0.0311464546056991,0.1595022624434389,0.0605750573293349,0.0364609466465964,0.0439920439920439,0.1175734834271419,0.5243189555851214,1.4689398039569428,0.738040091819632
att_back/overfit_dropout0_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.4717552577917,0.7377172409645799
att_back/weig_loss_enc_2_dec_4_overfit_try,0.6245634333954704,0.1776501268677756,0.067065547419182,0.0447323392813493,0.5440580846258656,0.3223145780051151,0.1248337765957446,0.1044520547945205,0.5815377862900009,0.2290530716103235,0.0872545602416637,0.062639055279822,0.5922225977585494,1.0533891737703838,0.8382755539922206
att_back/weig_loss_enc_2_dec_4_red_dim,0.6415647189665498,0.1751305173232083,0.0738572093951693,0.0934244791666666,0.5598857718797245,0.3539002557544757,0.1845079787234042,0.1638127853881278,0.5979488303947854,0.2343105090485765,0.1054882394868139,0.118988391376451,0.6100280593018435,1.0347024133401486,0.8427046520873323
att_back/weig_loss_enc_2_dec_4_red_dim_overfit,0.6153370056322337,0.1857479977116704,0.0714746345657781,0.0472972972972973,0.5566941038132034,0.3321611253196931,0.1105385638297872,0.2197488584474886,0.5845484477892755,0.2382590350394423,0.0868146214099216,0.0778406793368378,0.6056029680353235,1.0572969051427064,0.834434233900836
att_back/weig_loss_enc_4_dec_6,0.5067478677329234,0.1615836485072825,0.0784272497897392,0.0820244328097731,0.6398641207981036,0.2567774936061381,0.062001329787234,0.0804794520547945,0.5655789091628997,0.1983503728947498,0.0692536204975863,0.0812445980985306,0.5775262167840999,0.9968012663028244,0.8537087723347994
rgb_back/enc_layers_2_dec_layers_4,0.6353447179965253,0.0,0.0,0.0,0.5596991246243724,0.0,0.0,0.0,0.5951277598610767,0.0,0.0,0.0,0.5532032178741437,1.0731037060242818,0.8451435491287739
rgb_back/enc_layers_2_dec_layers_5,0.6698313919472368,0.0,0.0,0.0,0.4701084420553595,0.0,0.0,0.0,0.5524737055681681,0.0,0.0,0.0,0.5466744768118004,1.1397989524421948,0.8274323475151172
rgb_back/enc_layers_2_dec_layers_6,0.6549745226208246,0.0,0.0,0.0,0.4750359295966553,0.0,0.0,0.0,0.5506788554119111,0.0,0.0,0.0,0.5463244549761652,1.1371443332398996,0.82823752704542
rgb_back/enc_layers_3_dec_layers_4,0.6912403218460604,0.0,0.0,0.0,0.4249211415346137,0.0,0.0,0.0,0.5263084889957462,0.0,0.0,0.0,0.5432131017165209,1.173435121216618,0.8185034652948369
rgb_back/enc_layers_3_dec_layers_5,0.6420759412745165,0.0,0.0,0.0,0.5248707467756687,0.0,0.0,0.0,0.5775874463409124,0.0,0.0,0.0,0.5503443734552393,1.0993860849588066,0.838199219186538
rgb_back/enc_layers_3_dec_layers_6,0.6127186752028644,0.0,0.0,0.0,0.5876962129271889,0.0,0.0,0.0,0.5999466493912313,0.0,0.0,0.0,0.5540824986888129,1.054702743106509,0.8502695839997346
rgb_back/enc_layers_4_dec_layers_4,0.6643908359884692,0.0,0.0,0.0,0.4903969987121339,0.0,0.0,0.0,0.5642859443961212,0.0,0.0,0.0,0.5483760445632513,1.12344254095973,0.831660227062458
rgb_back/enc_layers_4_dec_layers_5,0.664444730407927,0.0,0.0,0.0,0.4818672191425425,0.0,0.0,0.0,0.5586160637008829,0.0,0.0,0.0,0.5475376790929813,1.128966127498667,0.8301071191061116
rgb_back/enc_layers_4_dec_layers_6,0.6338399233583,0.0,0.0,0.0,0.5433488250555275,0.0,0.0,0.0,0.5851163258127732,0.0,0.0,0.0,0.5515430870456279,1.0858656641769306,0.8418129088873849
